prefix,vendor,assignment_type
8C1F64AFA,"DATA ELECTRONIC DEVICES, INC",MA-S
8C1F649B9,"QUERCUS TECHNOLOGIES, S.L.",MA-S
8C1F64D0F,Mecco LLC,MA-S
8C1F643EE,BnB Information Technology,MA-S
8C1F64096,IPCOMM GmbH,MA-S
8C1F649F8,Exypnos - Creative Solutions LTD,MA-S
8C1F64C16,ALISONIC SRL,MA-S
8C1F64B7A,MG s.r.l.,MA-S
8C1F64129,Navtech Radar Ltd.,MA-S
8C1F64055,Intercreate,MA-S
8C1F64CA9,Avant Technologies,MA-S
8C1F64CFD,Smart-VOD Pty Ltd,MA-S
70B3D5060,RCH SPA,MA-S
70B3D5786,RCH SPA,MA-S
8C1F6403D,HORIZON.INC,MA-S
8C1F647E1,HEITEC AG,MA-S
8C1F6427B,Oriux,MA-S
8C1F6480F,ASYS Corporation,MA-S
8C1F64589,HVRND,MA-S
8C1F645F1,"HD Link Co., Ltd.",MA-S
8C1F64C8D,Aeronautics Ltd.,MA-S
8C1F64899,American Edge IP,MA-S
8C1F64C1C,"Vektrex Electronics Systems, Inc.",MA-S
8C1F64D93,Algodue Elettronica Srl,MA-S
8C1F64048,FieldLine Medical,MA-S
8C1F64C0A,"ACROLABS,INC",MA-S
8C1F6456E,Euklis srl,MA-S
8C1F64AD8,Novanta IMS,MA-S
8C1F6448F,Mecos AG,MA-S
8C1F6474E,OpenPark Technologies Kft,MA-S
8C1F64A36,"DONGGUAN GAGO ELECTRONICS CO.,LTD",MA-S
8C1F640B6,Luke Granger-Brown,MA-S
8C1F64D9B,GiS mbH,MA-S
8C1F64620,Solace Systems Inc.,MA-S
8C1F64DFC,"Meiko Electronics Co.,Ltd.",MA-S
8C1F64E74,Magosys Systems LTD,MA-S
8C1F643A2,Kron Medidores,MA-S
70B3D5CB1,RADAR,MA-S
8C1F64093,MAG Audio LLC,MA-S
8C1F641D6,ZHEJIANG QIAN INFORMATION & TECHNOLOGIES,MA-S
8C1F64A34,Potter Electric Signal Co. LLC,MA-S
70B3D56F4,WDI Wise Device Inc.,MA-S
8C1F648E8,"Cominfo, Inc.",MA-S
8C1F64286,i2s,MA-S
70B3D52D7,Private,MA-S
8C1F6403C,Sona Business B.V.,MA-S
8C1F649E6,MB connect line GmbH Fernwartungssysteme,MA-S
8C1F64BDB,Cardinal Scales Manufacturing Co,MA-S
8C1F64408,techone system,MA-S
8C1F64CC2,"TOYOGIKEN CO.,LTD.",MA-S
8C1F6459A,Primalucelab isrl,MA-S
8C1F64EE1,PuS GmbH und Co. KG,MA-S
8C1F64F24,Albotronic,MA-S
8C1F64025,SMITEC S.p.A.,MA-S
8C1F64793,Aditec GmbH,MA-S
8C1F64A31,Zing Communications Inc,MA-S
8C1F642CD,Taiwan Vtron,MA-S
70B3D523E,Tornado Modular Systems,MA-S
70B3D5A87,Tornado Modular Systems,MA-S
8C1F64803,MOSCA Elektronik und Antriebstechnik GmbH,MA-S
70B3D5A33,TIAMA,MA-S
70B3D5798,TIAMA,MA-S
8C1F64756,Star Systems International Limited,MA-S
8C1F64154,Flextronics International Kft,MA-S
8C1F640F4,AW-SOM Technologies LLC,MA-S
8C1F64AFF,Qtechnology A/S,MA-S
8C1F64293,Landis+Gyr Equipamentos de Medição Ltda,MA-S
8C1F64A0D,Lumiplan Duhamel,MA-S
8C1F645E3,Nixer Ltd,MA-S
8C1F6452E,CLOUD TELECOM Inc.,MA-S
8C1F648E3,"UniTik Technology Co., Limited",MA-S
8C1F6436A,INVENTIS S.r.l.,MA-S
8C1F64F84,KST technology,MA-S
8C1F6477B,DB SAS,MA-S
8C1F64BF1,Soha Jin,MA-S
8C1F64593,"Brillian Network & Automation Integrated System Co., Ltd.",MA-S
8C1F64895,Dacom West GmbH,MA-S
8C1F64251,Watchdog Systems,MA-S
8C1F6437F,"Scarlet Tech Co., Ltd.",MA-S
8C1F646D0,ABB,MA-S
8C1F6478F,Connection Systems,MA-S
8C1F64CFA,"YUYAMA MFG Co.,Ltd",MA-S
8C1F64B14,"Murata Manufacturing CO., Ltd.",MA-S
8C1F64744,CHASEO CONNECTOME,MA-S
8C1F649A5,Xi‘an Shengxin Science& Technology Development Co.?Ltd.,MA-S
8C1F649E8,GHM Messtechnik GmbH,MA-S
8C1F641D8,Mesomat inc.,MA-S
8C1F6490D,Algodue Elettronica Srl,MA-S
8C1F649B2,Emerson Rosemount Analytical,MA-S
70B3D56CF,Private,MA-S
8C1F64F2F,Quantum Technologies Inc,MA-S
8C1F64BC3,FoxIoT OÜ,MA-S
8C1F64676,sdt.net AG,MA-S
8C1F64B08,Cronus Electronics,MA-S
8C1F64117,Grossenbacher Systeme AG,MA-S
8C1F642A1,Pantherun Technologies Pvt Ltd,MA-S
8C1F6400C,"Guan Show Technologe Co., Ltd.",MA-S
8C1F64462,REO AG,MA-S
8C1F649A4,LabLogic Systems,MA-S
8C1F64376,DIAS Infrared GmbH,MA-S
8C1F6450E,Panoramic Power,MA-S
8C1F642FE,"VERSITRON, Inc.",MA-S
8C1F640D5,"RealD, Inc.",MA-S
8C1F644F9,Photonic Science and Engineering Ltd,MA-S
8C1F6497D,KSE GmbH,MA-S
8C1F6444E,"GVA Lighting, Inc.",MA-S
70B3D541A,HYOSUNG Heavy Industries Corporation,MA-S
8C1F64C07,HYOSUNG Heavy Industries Corporation,MA-S
8C1F6417E,MI Inc.,MA-S
8C1F649B6,GS Elektromedizinsiche Geräte G. Stemple GmbH,MA-S
8C1F64556,BAE Systems,MA-S
8C1F6483E,Sicon srl,MA-S
8C1F647D9,Noisewave Corporation,MA-S
8C1F644E7,Circuit Solutions,MA-S
8C1F6491A,Profcon AB,MA-S
70B3D511A,Mahindra Electric Mobility Limited,MA-S
8C1F64179,Agrowtek Inc.,MA-S
8C1F64208,Sichuan AnSphere Technology Co. Ltd.,MA-S
8C1F64324,Kinetic Technologies,MA-S
8C1F64CF7,BusPas,MA-S
8C1F64F43,wtec GmbH,MA-S
8C1F64692,Nexilis Electronics India Pvt Ltd (PICSYS),MA-S
8C1F64365,"VECTOR TECHNOLOGIES, LLC",MA-S
8C1F64A51,BABTEL,MA-S
8C1F649FF,Satelles Inc,MA-S
8C1F644AE,"KCS Co., Ltd.",MA-S
8C1F642C5,SYSN,MA-S
8C1F649F4,Grossenbacher Systeme AG,MA-S
8C1F64DB7,Lambda Systems Inc.,MA-S
8C1F64949,tickIoT Inc.,MA-S
8C1F64E90,MHE Electronics,MA-S
8C1F64C57,Strategic Robotic Systems,MA-S
8C1F64F2C,Tunstall A/S,MA-S
8C1F64274,INVIXIUM ACCESS INC,MA-S
8C1F64A42,Rodgers Instruments US LLC,MA-S
8C1F64958,Sanchar Telesystems limited,MA-S
8C1F648CF,Diffraction Limited,MA-S
8C1F641EF,Tantronic AG,MA-S
8C1F640B0,"Bunka Shutter Co., Ltd.",MA-S
8C1F64622,Logical Product,MA-S
8C1F644D6,Dan Smith LLC,MA-S
8C1F64B3B,Sicon srl,MA-S
8C1F64F45,JBF,MA-S
8C1F64765,Micro Electroninc Products,MA-S
8C1F64059,MB connect line GmbH Fernwartungssysteme,MA-S
8C1F6453B,REFU Storage System GmbH,MA-S
8C1F64883,DEUTA-WERKE GmbH,MA-S
8C1F64660,LLC NTPC,MA-S
8C1F64703,Calnex Solutions plc,MA-S
8C1F644E5,Renukas Castle Hard- and Software,MA-S
8C1F64F27,Tesat-Spacecom GmbH & Co. KG,MA-S
8C1F64855,e.kundenservice Netz GmbH,MA-S
8C1F64EB5,Meiryo Denshi Corp.,MA-S
8C1F6440E,Baker Hughes EMEA,MA-S
8C1F64967,DAVE SRL,MA-S
8C1F64FBA,Onto Innovation,MA-S
8C1F64BF0,Newtec A/S,MA-S
8C1F64BFB,TechArgos,MA-S
8C1F64C68,FIBERME COMMUNICATIONS LLC,MA-S
8C1F64775,Becton Dickinson,MA-S
8C1F6459F,Delta Computers LLC.,MA-S
8C1F647D3,Suntech Engineering,MA-S
8C1F64B7B,Gateview Technologies,MA-S
8C1F64FF6,Ascon Tecnologic S.r.l.,MA-S
8C1F64C97,Magnet-Physik Dr. Steingroever GmbH,MA-S
8C1F642B6,Stercom Power Solutions GmbH,MA-S
8C1F6488D,Pantherun Technologies Pvt Ltd,MA-S
8C1F64099,Pantherun Technologies Pvt Ltd,MA-S
8C1F64F74,GE AVIC Civil Avionics Systems Company Limited,MA-S
8C1F641AF,EnviroNode IoT Solutions,MA-S
8C1F64E49,Samwell International Inc,MA-S
8C1F64FD3,"SMILICS TECHNOLOGIES, S.L.",MA-S
70B3D5FDF,NARA CONTROLS INC.,MA-S
8C1F64E99,Pantherun Technologies Pvt Ltd,MA-S
8C1F64600,"Anhui Chaokun Testing Equipment Co., Ltd",MA-S
8C1F647B9,Deviceroy,MA-S
8C1F64517,"Smart Radar System, Inc",MA-S
8C1F64103,KRONOTECH SRL,MA-S
8C1F64647,Senior Group LLC,MA-S
8C1F6416E,Benchmark Electronics BV,MA-S
8C1F6484E,"West Pharmaceutical Services, Inc.",MA-S
8C1F64F31,International Water Treatment Maritime AS,MA-S
8C1F6431A,Asiga Pty Ltd,MA-S
8C1F64111,ISAC SRL,MA-S
8C1F64656,Optotune Switzerland AG,MA-S
8C1F64F25,"Misaka Network, Inc.",MA-S
8C1F64EB2,Aqua Broadcast Ltd,MA-S
8C1F64177,Emcom Systems,MA-S
8C1F6441D,Aspen Spectra Sdn Bhd,MA-S
8C1F649C3,Camozzi Automation SpA,MA-S
8C1F64E41,Grossenbacher Systeme AG,MA-S
8C1F64BF4,Fluid Components Intl,MA-S
70B3D5226,Yaviar LLC,MA-S
8C1F64509,Season Electronics Ltd,MA-S
8C1F64F96,SACO Controls Inc.,MA-S
8C1F64F5A,Telco Antennas Pty Ltd,MA-S
8C1F6419B,FeedFlo,MA-S
8C1F64CEE,DISPLAX S.A.,MA-S
8C1F642C2,TEX COMPUTER SRL,MA-S
8C1F64B77,Carestream Dental LLC,MA-S
8C1F64BD7,Union Electronic.,MA-S
8C1F644C1,Clock-O-Matic,MA-S
8C1F64A38,NuGrid Power,MA-S
8C1F6457A,NPO ECO-INTECH Ltd.,MA-S
8C1F6408B,"Shanghai Shenxu Technology Co., Ltd",MA-S
8C1F64A76,DEUTA-WERKE GmbH,MA-S
8C1F648AE,"Shenzhen Qunfang Technology Co., LTD.",MA-S
8C1F64E77,GY-FX SAS,MA-S
8C1F64DB9,Ermes Elettronica s.r.l.,MA-S
8C1F64003,Brighten Controls LLP,MA-S
8C1F64E52,LcmVeloci ApS,MA-S
8C1F64782,ATM LLC,MA-S
8C1F64CEF,"Goertek Robotics Co.,Ltd.",MA-S
8C1F648A9,"Guan Show Technologe Co., Ltd.",MA-S
8C1F640AB,Norbit ODM AS,MA-S
70B3D5E76,Dorsett Technologies Inc,MA-S
8C1F644CD,"Guan Show Technologe Co., Ltd.",MA-S
8C1F64F3F,"Industrial Laser Machines, LLC",MA-S
8C1F6406D,Monnit Corporation,MA-S
8C1F64EAA,"""KB ""Modul"", LLC",MA-S
8C1F6415E,"Dynomotion, Inc",MA-S
8C1F64C40,Sciospec Scientific Instruments GmbH,MA-S
8C1F64C27,"Lift Ventures, Inc",MA-S
8C1F640C5,TechnipFMC,MA-S
8C1F64CAD,General Motors,MA-S
8C1F6477C,Orange Tree Technologies Ltd,MA-S
8C1F643AD,TowerIQ,MA-S
8C1F64EC1,Actronika SAS,MA-S
8C1F64493,"Security Products International, LLC",MA-S
8C1F64382,"Shenzhen ROLSTONE Technology Co., Ltd",MA-S
8C1F64330,Vision Systems Safety Tech,MA-S
8C1F647A1,Guardian Controls International Ltd,MA-S
8C1F64ACE,Rayhaan Networks,MA-S
8C1F64397,Intel Corporate,MA-S
8C1F641B6,Red Sensors Limited,MA-S
70B3D56BB,LUCEO,MA-S
8C1F64984,Abacus Peripherals Pvt Ltd,MA-S
8C1F647D6,Algodue Elettronica Srl,MA-S
8C1F64CE3,Pixel Design & Manufacturing Sdn. Bhd.,MA-S
8C1F64768,mapna group,MA-S
8C1F64A5C,Prosys,MA-S
8C1F64572,ZMBIZI APP LLC,MA-S
8C1F6428A,Arcopie,MA-S
8C1F6472C,"Antai technology Co.,Ltd",MA-S
8C1F64193,Sicon srl,MA-S
8C1F64C1F,Esys Srl,MA-S
8C1F64128,YULISTA INTEGRATED SOLUTION,MA-S
8C1F64611,Siemens Industry Software Inc.,MA-S
8C1F64878,Green Access Ltd,MA-S
8C1F64B9A,"QUERCUS TECHNOLOGIES, S.L.",MA-S
8C1F64F41,AUTOMATIZACION Y CONECTIVIDAD SA DE CV,MA-S
8C1F647F1,AEM Singapore Pte Ltd,MA-S
8C1F6442B,Gamber Johnson-LLC,MA-S
8C1F6421C,"LLC ""EMS-Expert""",MA-S
8C1F64726,DAVE SRL,MA-S
8C1F64460,Solace Systems Inc.,MA-S
70B3D5E27,Woodside Electronics,MA-S
70B3D5E41,4neXt S.r.l.s.,MA-S
