consulta,horario_dvr,canal,resolvido,gravacao_encontrada,ultima_gravacao,atraso_segundos,has_more
1,2026-09-18T07:55:55-03:00,1,True,True,2026-09-18T07:54:20Z,95.0,False
1,2026-09-18T07:55:55-03:00,2,True,True,2026-09-18T07:55:55Z,0.0,False
1,2026-09-18T07:55:55-03:00,3,True,True,2026-09-18T07:54:20Z,95.0,False
1,2026-09-18T07:55:55-03:00,4,True,True,2026-09-18T07:55:55Z,0.0,False
1,2026-09-18T07:55:55-03:00,5,True,True,2026-09-18T07:55:55Z,0.0,False
1,2026-09-18T07:55:55-03:00,6,True,True,2026-09-18T07:54:21Z,94.0,False
1,2026-09-18T07:55:55-03:00,7,True,True,2026-09-18T07:54:21Z,94.0,False
1,2026-09-18T07:55:55-03:00,8,True,True,2026-09-18T07:54:22Z,93.0,False
1,2026-09-18T07:55:55-03:00,9,True,True,2026-09-18T07:55:55Z,0.0,False
1,2026-09-18T07:55:55-03:00,10,True,True,2026-09-18T07:54:23Z,92.0,False
1,2026-09-18T07:55:55-03:00,11,True,True,2026-09-18T07:54:22Z,93.0,False
1,2026-09-18T07:55:55-03:00,12,True,True,2026-09-18T07:54:23Z,92.0,False
1,2026-09-18T07:55:55-03:00,13,True,False,,,False
1,2026-09-18T07:55:55-03:00,14,True,False,,,False
1,2026-09-18T07:55:55-03:00,15,True,False,,,False
1,2026-09-18T07:55:55-03:00,16,True,False,,,False
2,2026-09-18T07:56:59-03:00,1,True,True,2026-09-18T07:56:58Z,1.0,False
2,2026-09-18T07:56:59-03:00,2,True,True,2026-09-18T07:55:55Z,64.0,False
2,2026-09-18T07:56:59-03:00,3,True,True,2026-09-18T07:55:56Z,63.0,False
2,2026-09-18T07:56:59-03:00,4,True,True,2026-09-18T07:55:56Z,63.0,False
2,2026-09-18T07:56:59-03:00,5,True,True,2026-09-18T07:55:55Z,64.0,False
2,2026-09-18T07:56:59-03:00,6,True,True,2026-09-18T07:56:59Z,0.0,False
2,2026-09-18T07:56:59-03:00,7,True,True,2026-09-18T07:55:56Z,63.0,False
2,2026-09-18T07:56:59-03:00,8,True,True,2026-09-18T07:56:59Z,0.0,False
2,2026-09-18T07:56:59-03:00,9,True,True,2026-09-18T07:55:56Z,63.0,False
2,2026-09-18T07:56:59-03:00,10,True,True,2026-09-18T07:55:56Z,63.0,False
2,2026-09-18T07:56:59-03:00,11,True,True,2026-09-18T07:56:59Z,0.0,False
2,2026-09-18T07:56:59-03:00,12,True,True,2026-09-18T07:55:58Z,61.0,False
2,2026-09-18T07:56:59-03:00,13,True,False,,,False
2,2026-09-18T07:56:59-03:00,14,True,False,,,False
2,2026-09-18T07:56:59-03:00,15,True,False,,,False
2,2026-09-18T07:56:59-03:00,16,True,False,,,False
3,2026-09-18T07:58:02-03:00,1,True,True,2026-09-18T07:58:01Z,1.0,False
3,2026-09-18T07:58:02-03:00,2,True,True,2026-09-18T07:58:02Z,0.0,False
