consulta,horario_pc,horario_dvr,canal,resolvido,gravacao_encontrada,ultima_gravacao,atraso_segundos,has_more
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,1,True,True,2026-09-18T08:41:03Z,58.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,2,True,True,2026-09-18T08:41:19Z,42.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,3,True,True,2026-09-18T08:42:01Z,0.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,4,True,True,2026-09-18T08:41:19Z,42.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,5,True,True,2026-09-18T08:40:53Z,68.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,6,True,True,2026-09-18T08:40:39Z,82.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,7,True,True,2026-09-18T08:41:19Z,42.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,8,True,True,2026-09-18T08:42:01Z,0.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,9,True,True,2026-09-18T08:42:01Z,0.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,10,True,True,2026-09-18T08:41:21Z,40.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,11,True,True,2026-09-18T08:41:26Z,35.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,12,True,True,2026-09-18T08:41:21Z,40.0,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,13,True,False,,,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,14,True,False,,,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,15,True,False,,,False
1,2026-09-18T08:42:12,2026-09-18T08:42:01-03:00,16,True,False,,,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,1,True,True,2026-09-18T08:42:05Z,22.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,2,True,True,2026-09-18T08:42:09Z,18.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,3,True,True,2026-09-18T08:42:12Z,15.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,4,True,True,2026-09-18T08:42:16Z,11.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,5,True,True,2026-09-18T08:42:04Z,23.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,6,True,True,2026-09-18T08:42:27Z,0.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,7,True,True,2026-09-18T08:42:05Z,22.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,8,True,True,2026-09-18T08:42:06Z,21.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,9,True,True,2026-09-18T08:42:27Z,0.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,10,True,True,2026-09-18T08:42:06Z,21.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,11,True,True,2026-09-18T08:42:07Z,20.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,12,True,True,2026-09-18T08:42:07Z,20.0,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,13,True,False,,,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,14,True,False,,,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,15,True,False,,,False
2,2026-09-18T08:42:33,2026-09-18T08:42:27-03:00,16,True,False,,,False
